model,kind,fit_rows,threshold,seconds,warnings,val_average_precision,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_tn,val_fp,val_fn,val_tp,test_average_precision,test_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_tn,test_fp,test_fn,test_tp
Gradient Boosting,classifier,6075,0.9543216832227245,0.59,,0.7419597170608293,0.9935355544505221,0.9975308641975309,1.0,0.6428571428571429,0.782608695652174,0.6923076923076923,2011,0,5,9,0.7723134438394982,0.9912830708059336,0.9965432098765432,0.8,0.6153846153846154,0.6956521739130435,0.6451612903225806,2010,2,5,8
Random Forest,classifier,6075,0.5826448468719291,0.3,,0.287555705477551,0.9780493002770477,0.9827160493827161,0.23076923076923078,0.6428571428571429,0.33962264150943394,0.47368421052631576,1981,30,5,9,0.41740874317599813,0.9882244991588929,0.9896296296296296,0.35714285714285715,0.7692307692307693,0.4878048780487805,0.625,1994,18,3,10
Decision Tree,classifier,6075,0.9800227383465978,0.04,,0.24051392999133114,0.8128685089152518,0.9911111111111112,0.375,0.42857142857142855,0.4,0.4166666666666667,2001,10,8,6,0.2249343419458362,0.8363473008105216,0.9896296296296296,0.2777777777777778,0.38461538461538464,0.3225806451612903,0.35714285714285715,1999,13,8,5
Logistic Regression,classifier,6075,0.8832226346964734,0.08,,0.1747711591628942,0.9471123108616893,0.9753086419753086,0.14,0.5,0.21875,0.330188679245283,1968,43,7,7,0.13585801604360517,0.8924912066065148,0.9832098765432099,0.2,0.5384615384615384,0.2916666666666667,0.40229885057471265,1984,28,6,7
KNN,classifier,6075,0.12826834604991513,0.1,,0.1273775913124284,0.6865099097819138,0.985679012345679,0.14285714285714285,0.21428571428571427,0.17142857142857143,0.19480519480519481,1993,18,11,3,0.1739296204015895,0.7919024315644594,0.9916049382716049,0.35714285714285715,0.38461538461538464,0.37037037037037035,0.3787878787878788,2003,9,8,5
SVR,regression,5000,0.08793277668273895,0.21,,0.0952548701387088,0.90356610073169,0.9837037037037037,0.1724137931034483,0.35714285714285715,0.23255813953488372,0.29411764705882354,1987,24,9,5,0.13895686547968913,0.9240327267166233,0.988641975308642,0.1875,0.23076923076923078,0.20689655172413793,0.22058823529411764,1999,13,10,3
Polynomial Regression,regression,6075,0.13764018880657053,9.92,,0.0796717474897755,0.8003480855295871,0.9812345679012345,0.125,0.2857142857142857,0.17391304347826086,0.22727272727272727,1983,28,10,4,0.1362137616866738,0.8612173115155223,0.9896296296296296,0.25,0.3076923076923077,0.27586206896551724,0.29411764705882354,2000,12,9,4
Linear Regression,regression,6075,0.026161454976021056,0.12,,0.05336433915868307,0.8948639624920083,0.8483950617283951,0.03785488958990536,0.8571428571428571,0.07250755287009064,0.16085790884718498,1706,305,2,12,0.03890833336488121,0.8466890961920783,0.8567901234567902,0.03367003367003367,0.7692307692307693,0.06451612903225806,0.14326647564469913,1725,287,3,10
Autoencoder,autoencoder,6075,0.013309822145989223,1.44,,0.04674710684101863,0.7317965475598494,0.9797530864197531,0.09090909090909091,0.21428571428571427,0.1276595744680851,0.16853932584269662,1981,30,11,3,0.028366099182963015,0.7084416577458327,0.9832098765432099,0.043478260869565216,0.07692307692307693,0.05555555555555555,0.06666666666666667,1990,22,12,1
Deep Neural Network,classifier,6075,0.1616634178196304,0.35,,0.03167560351236861,0.8867656460893656,0.8182716049382716,0.034210526315789476,0.9285714285714286,0.06598984771573604,0.14908256880733944,1644,367,1,13,0.1212098607349259,0.8654993118213795,0.8419753086419753,0.03343465045592705,0.8461538461538461,0.06432748538011696,0.14435695538057744,1694,318,2,11
One-Class SVM,anomaly,4966,-0.14976389206162555,0.35,,0.02528960258132117,0.7450095901115295,0.914074074074074,0.03488372093023256,0.42857142857142855,0.06451612903225806,0.13157894736842105,1845,166,8,6,0.02305274210302783,0.7002599785899984,0.9145679012345679,0.023809523809523808,0.3076923076923077,0.04419889502762431,0.09090909090909091,1848,164,9,4
Isolation Forest,anomaly,6075,-0.12978889255005882,0.12,,0.02128848131227208,0.7837962634083967,0.9061728395061729,0.026881720430107527,0.35714285714285715,0.05,0.10330578512396695,1830,181,9,5,0.023068356400922946,0.8030662180761584,0.9160493827160494,0.024242424242424242,0.3076923076923077,0.0449438202247191,0.09216589861751152,1851,161,9,4
Dummy baseline,classifier,6075,0.006748971193415638,0.06,,0.006913580246913581,0.5,0.006913580246913581,0.006913580246913581,1.0,0.01373222167729279,0.03363767419509851,0,2011,0,14,0.006419753086419753,0.5,0.006419753086419753,0.006419753086419753,1.0,0.012757605495583905,0.031295137217140105,0,2012,0,13
