row_id,split,used_for_fit
0,train,True
1,validation,False
2,train,True
3,train,True
4,test,False
5,test,False
6,validation,False
7,test,False
8,train,True
9,test,False
10,train,True
11,test,False
12,train,True
13,validation,False
14,train,True
15,train,True
16,test,False
17,train,True
18,validation,False
19,train,True
20,train,True
21,validation,False
22,validation,False
23,train,True
24,validation,False
25,validation,False
26,train,True
27,train,True
28,train,True
29,train,True
30,train,True
31,train,True
32,validation,False
33,train,True
34,train,True
35,train,True
36,train,True
37,train,True
38,validation,False
39,train,True
40,validation,False
41,train,True
42,train,True
43,train,True
44,train,True
45,train,True
46,train,True
47,train,True
48,train,True
49,train,True
50,train,True
51,train,True
52,validation,False
53,train,True
54,validation,False
55,validation,False
56,train,True
57,train,True
58,train,True
59,train,True
60,validation,False
61,train,True
62,train,True
63,train,True
64,test,False
65,train,True
66,train,True
67,test,False
68,train,True
69,train,True
70,train,True
71,train,True
72,validation,False
73,train,True
74,test,False
75,train,True
76,train,True
77,test,False
78,validation,False
79,train,True
80,train,True
81,train,True
82,train,True
83,validation,False
84,train,True
85,test,False
86,train,True
87,train,True
88,train,True
89,test,False
90,train,True
91,train,True
92,train,True
93,train,True
94,validation,False
95,train,True
96,train,True
97,test,False
98,test,False
99,train,True
100,train,True
101,train,True
102,train,True
103,train,True
104,train,True
105,validation,False
106,train,True
107,train,True
108,train,True
109,train,True
110,train,True
111,train,True
112,train,True
113,train,True
114,train,True
115,validation,False
116,test,False
117,test,False
118,train,True
119,train,True
120,train,True
121,train,True
122,train,True
123,test,False
124,train,True
125,test,False
126,validation,False
127,train,True
128,train,True
129,train,True
130,validation,False
131,train,True
132,train,True
133,test,False
134,train,True
135,train,True
136,train,True
137,test,False
138,validation,False
139,train,True
140,test,False
141,validation,False
142,train,True
143,train,True
144,train,True
145,validation,False
146,train,True
147,test,False
148,validation,False
149,train,True
150,train,True
151,train,True
152,train,True
153,validation,False
154,test,False
155,test,False
156,train,True
157,train,True
158,validation,False
159,test,False
160,train,True
161,validation,False
162,validation,False
163,test,False
164,train,True
165,train,True
166,train,True
167,train,True
168,train,True
169,train,True
170,train,True
171,train,True
172,train,True
173,validation,False
174,train,True
175,train,True
176,train,True
177,train,True
178,train,True
179,train,True
180,train,True
181,train,True
182,test,False
183,train,True
184,train,True
185,train,True
186,train,True
187,validation,False
188,train,True
189,test,False
190,test,False
191,train,True
192,train,True
193,test,False
194,validation,False
195,train,True
196,train,True
197,validation,False
198,train,True
199,train,True
200,test,False
201,validation,False
202,test,False
203,train,True
204,test,False
205,train,True
206,test,False
207,test,False
208,train,True
209,train,True
210,train,True
211,train,True
212,train,True
213,test,False
214,train,True
215,validation,False
216,train,True
217,train,True
218,train,True
219,train,True
220,train,True
221,train,True
222,train,True
223,train,True
224,test,False
225,validation,False
226,test,False
227,train,True
228,train,True
229,train,True
230,train,True
231,train,True
232,test,False
233,train,True
234,validation,False
235,test,False
236,test,False
237,validation,False
238,train,True
239,train,True
240,train,True
241,validation,False
242,train,True
243,train,True
244,validation,False
245,train,True
246,validation,False
247,train,True
248,train,True
249,validation,False
250,train,True
251,train,True
252,train,True
253,validation,False
254,train,True
255,test,False
256,test,False
257,train,True
258,validation,False
259,train,True
260,validation,False
261,train,True
262,test,False
263,train,True
264,test,False
265,train,True
266,validation,False
267,train,True
268,train,True
269,validation,False
270,validation,False
271,test,False
272,train,True
273,train,True
274,train,True
275,train,True
276,test,False
277,test,False
278,validation,False
279,train,True
280,test,False
281,validation,False
282,validation,False
283,train,True
284,train,True
285,validation,False
286,train,True
287,train,True
288,train,True
289,validation,False
290,train,True
291,train,True
292,train,True
293,train,True
294,validation,False
295,train,True
296,train,True
297,train,True
298,train,True
299,test,False
300,train,True
301,test,False
302,test,False
303,train,True
304,train,True
305,validation,False
306,validation,False
307,train,True
308,train,True
309,train,True
310,train,True
311,train,True
312,train,True
313,validation,False
314,train,True
315,train,True
316,train,True
317,validation,False
318,train,True
319,train,True
320,train,True
321,train,True
322,train,True
323,train,True
324,train,True
325,train,True
326,train,True
327,train,True
328,train,True
329,validation,False
330,train,True
331,validation,False
332,train,True
333,train,True
334,train,True
335,train,True
336,train,True
337,train,True
338,validation,False
339,train,True
340,test,False
341,validation,False
342,test,False
343,validation,False
344,train,True
345,validation,False
346,train,True
347,train,True
348,train,True
349,train,True
350,train,True
351,train,True
352,validation,False
353,train,True
354,train,True
355,validation,False
356,test,False
357,validation,False
358,validation,False
359,validation,False
360,train,True
361,validation,False
362,validation,False
363,train,True
364,validation,False
365,validation,False
366,train,True
367,train,True
368,train,True
369,validation,False
370,validation,False
371,train,True
372,train,True
373,train,True
374,validation,False
375,train,True
376,train,True
377,test,False
378,train,True
