model,kind,fit_rows,threshold,seconds,warnings,val_average_precision,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_tn,val_fp,val_fn,val_tp,test_average_precision,test_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_tn,test_fp,test_fn,test_tp
SVR,regression,5000,0.03872333138007286,0.34,,0.011971098073131129,0.513759595959596,0.4616,0.010921880784894483,0.59,0.021446746637586334,0.05084453636677008,9114,10686,82,118,0.009621109238036423,0.4451512626262626,0.46185,0.008102822017323274,0.435,0.015909298710798207,0.037704775938285515,9150,10650,113,87
Gradient Boosting,classifier,20000,0.4219730052419455,0.13,,0.011727825394513175,0.5337474747474747,0.41545,0.011312409628306541,0.665,0.022246382871957848,0.05295850919805686,8176,11624,67,133,0.0118667260933038,0.5276008838383839,0.4165,0.010832480382122143,0.635,0.021301576652130158,0.05070265091025231,8203,11597,73,127
One-Class SVM,anomaly,4950,-0.2718699991121625,0.16,,0.011372259296938228,0.5092810606060606,0.91945,0.015785861358956762,0.115,0.02776101388050694,0.05095259193619849,18366,1434,177,23,0.010273460672434004,0.48256313131313133,0.91865,0.01029512697323267,0.075,0.018105009052504527,0.03322995126273815,18358,1442,185,15
Isolation Forest,anomaly,20000,-0.006094745668582369,0.25,,0.01106385363342932,0.5206166666666667,0.6472,0.011680911680911682,0.41,0.022714681440443214,0.052429667519181586,12862,6938,118,82,0.010473146245648246,0.5002228535353536,0.6383,0.010984427141268075,0.395,0.021374458874458876,0.04942442442442443,12687,7113,121,79
Polynomial Regression,regression,20000,0.01198088426312113,0.1,,0.01091738631544541,0.49422550505050505,0.6642,0.011104441776710685,0.37,0.02156177156177156,0.04957127545551983,13210,6590,126,74,0.008662646149307753,0.4482578282828283,0.6511,0.007412790697674419,0.255,0.01440677966101695,0.033203125,12971,6829,149,51
Random Forest,classifier,20000,0.24154569607876228,0.95,,0.010838182673413525,0.4955498737373737,0.6476,0.011554921540656205,0.405,0.02246879334257975,0.051856594110115235,12871,6929,119,81,0.010731345004812931,0.49174696969696974,0.64075,0.009824561403508772,0.35,0.01911262798634812,0.04416403785488959,12745,7055,130,70
Deep Neural Network,classifier,20000,0.5684982706959149,1.78,,0.010588129208062298,0.5007376262626263,0.7374,0.011789717819868574,0.305,0.022701898027540007,0.051054569802477405,14687,5113,139,61,0.008729129072809379,0.45135883838383833,0.7306,0.007406000759589822,0.195,0.014270032930845226,0.03214638971315529,14573,5227,161,39
Autoencoder,autoencoder,20000,3.346593062501517e-05,2.05,Stochastic Optimizer: Maximum iterations (80) reached and the optimization hasn't converged yet.,0.010352325928859372,0.502330303030303,0.05255,0.01013743010921252,0.97,0.020065160055851475,0.04865325776195014,857,18943,6,194,0.011034490634902557,0.5135785353535354,0.05395,0.009844478190291668,0.94,0.019484894024977977,0.0472433030105041,891,18909,12,188
KNN,classifier,20000,0.0,0.45,,0.010194941889952387,0.4998790404040403,0.01,0.01,1.0,0.019801980198019802,0.04807692307692308,0,19800,0,200,0.010463718472024467,0.5044193181818182,0.01,0.01,1.0,0.019801980198019802,0.04807692307692308,0,19800,0,200
Decision Tree,classifier,20000,0.0,0.09,,0.01019371658203393,0.5038751262626263,0.01,0.01,1.0,0.019801980198019802,0.04807692307692308,0,19800,0,200,0.009985653112211841,0.4811941919191919,0.01,0.01,1.0,0.019801980198019802,0.04807692307692308,0,19800,0,200
Dummy baseline,classifier,20000,0.01,0.03,,0.01,0.5,0.01,0.01,1.0,0.019801980198019802,0.04807692307692308,0,19800,0,200,0.01,0.5,0.01,0.01,1.0,0.019801980198019802,0.04807692307692308,0,19800,0,200
Logistic Regression,classifier,20000,0.5079417040418831,0.05,,0.00992053996550988,0.5053002525252526,0.59785,0.011461318051575931,0.46,0.022365382277865564,0.05211283561799026,11865,7935,108,92,0.008616056326746627,0.429749494949495,0.59875,0.008170961659333752,0.325,0.01594114040465972,0.03712164477441462,11910,7890,135,65
Linear Regression,regression,20000,0.010252077824309199,0.05,,0.009811726083977249,0.5046873737373738,0.57145,0.01132516053706947,0.485,0.02213348545350827,0.05178857447944474,11332,8468,103,97,0.008655890565024306,0.4284436868686869,0.57065,0.008209217778820218,0.35,0.01604216798441618,0.03752546370751581,11343,8457,130,70
