row_id,split,used_for_fit
0,train,True
1,validation,False
2,test,False
3,test,False
4,train,True
5,validation,False
6,train,True
7,train,False
8,train,False
9,train,False
10,test,False
11,train,False
12,train,False
13,validation,False
14,test,False
15,test,False
16,validation,False
17,test,False
18,validation,False
19,train,False
20,validation,False
21,train,True
22,test,False
23,train,True
24,train,False
25,validation,False
26,validation,False
27,train,False
28,validation,False
29,validation,False
30,test,False
31,train,True
32,train,False
33,train,True
34,train,False
35,train,True
36,validation,False
37,validation,False
38,train,False
39,train,False
40,train,False
41,train,False
42,test,False
43,test,False
44,train,False
45,test,False
46,test,False
47,train,True
48,validation,False
49,train,False
50,validation,False
51,test,False
52,train,False
53,train,False
54,train,False
55,validation,False
56,validation,False
57,validation,False
58,test,False
59,test,False
60,validation,False
61,train,True
62,train,False
63,validation,False
64,test,False
65,train,False
66,test,False
67,train,False
68,test,False
69,train,False
70,train,True
71,train,False
72,train,False
73,train,False
74,test,False
75,train,True
76,test,False
77,validation,False
78,train,False
79,test,False
80,train,False
81,validation,False
82,train,True
83,train,False
84,validation,False
85,train,False
86,train,False
87,train,False
88,train,False
89,test,False
90,test,False
91,test,False
92,test,False
93,validation,False
94,test,False
95,train,True
96,validation,False
97,train,False
98,train,False
99,train,False
100,validation,False
101,train,True
102,train,False
103,train,True
104,train,True
105,test,False
106,train,True
107,train,True
108,train,False
109,train,True
110,train,True
111,test,False
112,validation,False
113,validation,False
114,train,False
115,train,False
116,train,False
117,test,False
118,validation,False
119,train,False
120,train,False
121,test,False
122,train,False
123,validation,False
124,train,False
125,validation,False
126,test,False
127,train,True
128,train,False
129,validation,False
130,train,False
131,train,True
132,validation,False
133,train,False
134,train,True
135,train,True
136,test,False
137,train,False
138,validation,False
139,train,True
140,train,False
141,validation,False
142,train,False
143,train,False
144,train,False
145,test,False
146,validation,False
147,train,False
148,test,False
149,train,True
150,train,False
151,train,True
152,train,True
153,test,False
154,test,False
155,validation,False
156,train,False
157,validation,False
158,train,True
159,validation,False
160,train,True
161,train,False
162,test,False
163,validation,False
164,test,False
165,test,False
166,validation,False
167,train,False
168,validation,False
169,test,False
170,train,False
171,train,False
172,train,False
173,train,True
174,test,False
175,train,True
176,train,False
177,test,False
178,test,False
179,train,True
180,train,False
181,test,False
182,train,False
183,test,False
184,test,False
185,validation,False
186,train,False
187,train,True
188,validation,False
189,validation,False
190,train,False
191,train,False
192,train,False
193,train,False
194,test,False
195,validation,False
196,train,False
197,train,True
198,train,False
199,train,False
200,train,False
201,train,False
202,train,False
203,train,False
204,train,False
205,test,False
206,train,True
207,test,False
208,test,False
209,validation,False
210,validation,False
211,train,False
212,validation,False
213,train,True
214,validation,False
215,train,False
216,train,False
217,train,False
218,validation,False
219,train,False
220,train,False
221,test,False
222,train,False
223,validation,False
224,train,True
225,train,False
226,train,False
227,train,False
228,train,True
229,train,True
230,train,False
231,validation,False
232,test,False
233,validation,False
234,train,False
235,train,False
236,train,True
237,validation,False
238,test,False
239,train,True
240,train,False
241,test,False
242,train,True
243,validation,False
244,train,True
245,train,False
246,validation,False
247,validation,False
248,train,False
249,validation,False
250,test,False
251,train,False
252,train,False
253,train,False
254,train,True
255,train,True
256,train,False
257,validation,False
258,test,False
259,train,True
260,train,False
261,test,False
262,train,False
263,validation,False
264,train,False
265,train,False
266,train,True
267,train,True
268,train,False
269,train,False
270,train,False
271,train,False
272,train,False
273,train,True
274,train,False
275,train,False
276,train,False
277,train,False
278,train,False
279,test,False
280,train,False
281,train,False
282,train,False
283,train,False
284,test,False
285,test,False
286,train,False
287,test,False
288,train,False
289,test,False
290,validation,False
291,train,True
292,train,False
293,validation,False
294,train,False
295,train,False
296,train,False
297,test,False
298,train,True
299,validation,False
300,train,False
301,train,True
302,test,False
303,train,False
304,validation,False
305,validation,False
306,train,False
307,train,False
308,train,False
309,validation,False
310,test,False
311,test,False
312,train,True
313,test,False
314,validation,False
315,train,True
316,train,True
317,train,True
318,test,False
319,validation,False
320,train,False
321,train,False
322,validation,False
323,validation,False
324,validation,False
325,train,False
326,train,False
327,train,False
328,train,False
329,train,False
330,train,False
331,validation,False
332,train,True
333,validation,False
334,train,False
335,train,False
336,train,True
337,train,False
338,validation,False
339,train,True
340,test,False
341,validation,False
342,validation,False
343,test,False
344,test,False
345,train,False
346,train,False
347,train,True
348,train,False
349,train,True
350,train,True
351,train,False
352,test,False
353,train,False
354,validation,False
355,train,False
356,train,True
357,train,False
358,train,False
359,train,False
360,train,False
361,validation,False
362,validation,False
363,train,False
364,validation,False
365,test,False
366,train,False
367,validation,False
368,test,False
369,train,False
370,test,False
371,validation,False
372,test,False
373,test,False
374,train,False
375,test,False
376,train,False
377,validation,False
378,train,False
