model,kind,fit_rows,threshold,seconds,warnings,val_average_precision,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_tn,val_fp,val_fn,val_tp,test_average_precision,test_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_tn,test_fp,test_fn,test_tp
Random Forest,classifier,20000,0.2902204030517307,1.06,,0.33018869356334224,0.5115719162643442,0.32386363636363635,0.32379739394533164,1.0,0.4891947898164594,0.7053826781064584,1,6902,0,3305,0.31587613160899725,0.48955439502070414,0.3208782354718501,0.3208782354718501,1.0,0.4858558902020587,0.7025978035548891,0,6743,0,3186
KNN,classifier,20000,0.0,0.47,,0.32910838362780903,0.505280060873794,0.3237656739811912,0.3237656739811912,1.0,0.489158588026345,0.7053525695748677,0,6903,0,3305,0.3194805213261845,0.49364368377557194,0.3208782354718501,0.3208782354718501,1.0,0.4858558902020587,0.7025978035548891,0,6743,0,3186
Deep Neural Network,classifier,20000,0.1206413765298005,1.98,,0.32770512835668436,0.502100667494652,0.32435344827586204,0.3239560870417565,1.0,0.48937587917376174,0.7055332593288361,6,6897,0,3305,0.3208437618106028,0.4954372714900268,0.3209789505488972,0.32083837162434503,0.9993722536095417,0.4857360793287567,0.7023116287277219,3,6740,2,3184
Polynomial Regression,regression,20000,0.09928509476768371,0.27,,0.32600451383987117,0.5005494990776664,0.32405956112852663,0.3238608525232729,1.0,0.48926720947446334,0.7054429028815368,3,6900,0,3305,0.3188289542805566,0.4939179446188598,0.3209789505488972,0.32083837162434503,0.9993722536095417,0.4857360793287567,0.7023116287277219,3,6740,2,3184
Autoencoder,autoencoder,20000,0.018944642445462435,1.46,Stochastic Optimizer: Maximum iterations (80) reached and the optimization hasn't converged yet.,0.3246700904545644,0.5026440520171129,0.3256269592476489,0.32433493668400903,0.999697428139183,0.4897717165727839,0.7057717776733455,20,6883,1,3304,0.32680311697309633,0.5075991014000802,0.3230939671668849,0.3213021939136589,0.997489014438167,0.4860441997400015,0.7020101612546941,30,6713,8,3178
Gradient Boosting,classifier,20000,0.3633299916259618,0.1,,0.32446593225651343,0.5026560400518707,0.3245493730407524,0.32398509511668955,0.999697428139183,0.4893727319854847,0.705440259629345,9,6894,1,3304,0.3249378057111537,0.5091463803480283,0.32148252593413235,0.32096400121004337,0.9990583804143126,0.4858429367320461,0.7023079299236574,9,6734,3,3183
SVR,regression,5000,-0.2621594326380179,2.46,,0.3239761700811037,0.5012486184721371,0.3237656739811912,0.3237656739811912,1.0,0.489158588026345,0.7053525695748677,0,6903,0,3305,0.3230466209548707,0.4982662730195011,0.3208782354718501,0.3208782354718501,1.0,0.4858558902020587,0.7025978035548891,0,6743,0,3186
Dummy baseline,classifier,20000,0.32065,0.06,,0.3237656739811912,0.5,0.3237656739811912,0.3237656739811912,1.0,0.489158588026345,0.7053525695748677,0,6903,0,3305,0.3208782354718501,0.5,0.3208782354718501,0.3208782354718501,1.0,0.4858558902020587,0.7025978035548891,0,6743,0,3186
Decision Tree,classifier,20000,0.0,0.11,,0.32307696534195735,0.4957800583534576,0.3237656739811912,0.3237656739811912,1.0,0.489158588026345,0.7053525695748677,0,6903,0,3305,0.32189042328658635,0.501914961636531,0.3208782354718501,0.3208782354718501,1.0,0.4858558902020587,0.7025978035548891,0,6743,0,3186
Logistic Regression,classifier,20000,0.4557169030221437,0.06,,0.3228142356577829,0.49523338643572495,0.32405956112852663,0.3238608525232729,1.0,0.48926720947446334,0.7054429028815368,3,6900,0,3305,0.31849246985072466,0.5000577660737475,0.32118038070299126,0.32097521660286116,1.0,0.485967053081147,0.7026907807675342,3,6740,0,3186
Linear Regression,regression,20000,0.2824210273466534,0.06,,0.32275221057776615,0.4952525409921754,0.32405956112852663,0.3238608525232729,1.0,0.48926720947446334,0.7054429028815368,3,6900,0,3305,0.3185158341126489,0.5003567439074946,0.32118038070299126,0.32097521660286116,1.0,0.485967053081147,0.7026907807675342,3,6740,0,3186
Isolation Forest,anomaly,20000,-0.06588377128403378,0.25,,0.3188291805044916,0.4898088335817508,0.32405956112852663,0.3238608525232729,1.0,0.48926720947446334,0.7054429028815368,3,6900,0,3305,0.325230607690215,0.5076230736224654,0.3212810957800383,0.32093538957766354,0.9993722536095417,0.48584725719081406,0.7024045885726892,6,6737,2,3184
One-Class SVM,anomaly,3397,-3.3273191074856374,0.1,,0.31508072264072573,0.4900244428796443,0.32386363636363635,0.32379739394533164,1.0,0.4891947898164594,0.7053826781064584,1,6902,0,3305,0.32668664473496606,0.50663132183579,0.32118038070299126,0.32097521660286116,1.0,0.485967053081147,0.7026907807675342,3,6740,0,3186
