row_id,split,used_for_fit
0,validation,False
1,test,False
2,validation,False
3,validation,False
4,train,True
5,validation,False
6,train,True
7,train,True
8,train,False
9,train,True
10,train,False
11,train,True
12,train,False
13,train,True
14,train,False
15,validation,False
16,train,True
17,train,True
18,train,True
19,validation,False
20,train,True
21,validation,False
22,train,False
23,train,False
24,validation,False
25,train,False
26,train,True
27,train,True
28,train,True
29,test,False
30,test,False
31,train,False
32,train,True
33,test,False
34,train,False
35,train,False
36,test,False
37,train,False
38,test,False
39,validation,False
40,train,True
41,train,True
42,train,True
43,train,True
44,train,True
45,train,True
46,train,True
47,train,True
48,test,False
49,train,True
50,train,False
51,train,True
52,test,False
53,test,False
54,train,True
55,validation,False
56,train,True
57,validation,False
58,train,True
59,test,False
60,train,False
61,train,True
62,train,True
63,validation,False
64,validation,False
65,test,False
66,validation,False
67,test,False
68,train,True
69,train,False
70,train,True
71,validation,False
72,validation,False
73,validation,False
74,train,False
75,train,True
76,validation,False
77,validation,False
78,train,True
79,train,False
80,test,False
81,train,True
82,train,True
83,train,True
84,test,False
85,validation,False
86,train,True
87,test,False
88,test,False
89,train,True
90,train,True
91,test,False
92,test,False
93,train,True
94,train,True
95,train,False
96,train,False
97,validation,False
98,train,True
99,train,False
100,train,True
101,train,True
102,train,False
103,train,True
104,test,False
105,test,False
106,test,False
107,test,False
108,test,False
109,train,True
110,test,False
111,validation,False
112,test,False
113,train,False
114,validation,False
115,validation,False
116,test,False
117,train,True
118,train,False
119,validation,False
120,train,False
121,train,False
122,train,False
123,train,True
124,test,False
125,train,False
126,train,True
127,train,True
128,train,False
129,train,True
130,test,False
131,train,False
132,train,True
133,validation,False
134,validation,False
135,train,False
136,validation,False
137,train,False
138,train,False
139,train,True
140,test,False
141,test,False
142,validation,False
143,validation,False
144,validation,False
145,test,False
146,train,True
147,test,False
148,train,False
149,train,True
150,train,False
151,test,False
152,train,False
153,validation,False
154,validation,False
155,train,True
156,train,False
157,train,True
158,train,True
159,train,True
160,train,True
161,train,True
162,validation,False
163,train,True
164,test,False
165,train,True
166,train,True
167,train,False
168,train,False
169,train,True
170,train,True
171,train,True
172,train,False
173,train,True
174,train,True
175,test,False
176,train,True
177,train,False
178,train,True
179,train,True
180,validation,False
181,train,True
182,train,True
183,test,False
184,validation,False
185,train,False
186,train,True
187,test,False
188,train,False
189,test,False
190,validation,False
191,train,False
192,train,True
193,train,True
194,test,False
195,train,True
196,validation,False
197,train,False
198,test,False
199,test,False
200,test,False
201,train,True
202,validation,False
203,train,True
204,train,True
205,test,False
206,validation,False
207,validation,False
208,validation,False
209,validation,False
210,train,True
211,train,True
212,validation,False
213,validation,False
214,validation,False
215,train,False
216,train,True
217,train,True
218,test,False
219,train,True
220,train,True
221,validation,False
222,train,False
223,train,False
224,validation,False
225,validation,False
226,train,True
227,validation,False
228,train,False
229,train,True
230,test,False
231,validation,False
232,train,True
233,train,True
234,train,True
235,train,True
236,train,True
237,validation,False
238,test,False
239,train,True
240,validation,False
241,train,True
242,test,False
243,validation,False
244,train,True
245,test,False
246,train,True
247,test,False
248,train,False
249,validation,False
250,train,True
251,train,False
252,validation,False
253,train,True
254,train,True
255,train,True
256,train,True
257,validation,False
258,test,False
259,train,False
260,train,True
261,train,True
262,train,True
263,train,True
264,train,False
265,test,False
266,validation,False
267,train,False
268,train,True
269,train,False
270,train,False
271,validation,False
272,train,True
273,test,False
274,validation,False
275,test,False
276,validation,False
277,train,False
278,train,False
279,train,False
280,train,False
281,test,False
282,train,False
283,validation,False
284,validation,False
285,train,True
286,train,False
287,test,False
288,train,True
289,test,False
290,validation,False
291,test,False
292,train,False
293,validation,False
294,train,False
295,test,False
296,train,True
297,train,False
298,test,False
299,validation,False
300,train,False
301,test,False
302,validation,False
303,train,False
304,test,False
305,train,True
306,validation,False
307,train,False
308,train,False
309,validation,False
310,test,False
311,test,False
312,train,True
313,validation,False
314,train,True
315,train,True
316,test,False
317,train,True
318,validation,False
319,train,False
320,train,True
321,validation,False
322,train,True
323,test,False
324,validation,False
325,validation,False
326,validation,False
327,test,False
328,train,True
329,train,True
330,train,True
331,train,False
332,train,True
333,train,True
334,train,False
335,validation,False
336,train,True
337,train,True
338,validation,False
339,train,True
340,train,True
341,validation,False
342,test,False
343,train,True
344,test,False
345,validation,False
346,validation,False
347,train,True
348,train,False
349,train,True
350,train,False
351,validation,False
352,train,True
353,validation,False
354,validation,False
355,train,False
356,train,True
357,train,True
358,test,False
359,validation,False
360,validation,False
361,train,False
362,validation,False
363,train,False
364,train,True
365,train,False
366,test,False
367,train,False
368,test,False
369,train,True
370,validation,False
371,validation,False
372,train,False
373,validation,False
374,test,False
375,train,True
376,train,True
377,train,False
378,train,True
379,train,True
380,train,True
381,train,True
382,train,True
383,validation,False
384,train,True
385,test,False
386,train,False
387,train,True
388,train,False
389,test,False
390,validation,False
391,test,False
392,train,True
393,validation,False
394,test,False
395,test,False
396,train,False
397,train,True
398,validation,False
399,test,False
400,validation,False
401,validation,False
402,test,False
403,test,False
404,validation,False
405,test,False
406,train,True
407,validation,False
408,train,False
409,train,True
410,train,False
411,train,False
412,test,False
413,validation,False
414,train,False
415,train,True
416,validation,False
417,train,True
418,validation,False
419,train,False
420,train,False
421,train,True
422,train,True
423,test,False
424,train,False
425,test,False
426,test,False
427,train,False
428,train,True
429,train,False
430,train,True
431,train,True
432,train,False
433,validation,False
434,validation,False
435,validation,False
436,train,False
437,train,False
438,test,False
439,train,True
440,test,False
441,train,True
442,test,False
443,train,True
444,train,False
445,train,True
446,test,False
447,train,True
448,train,False
449,test,False
450,validation,False
451,train,True
452,validation,False
453,validation,False
454,validation,False
455,validation,False
456,test,False
457,train,False
458,train,True
459,train,True
460,train,True
461,test,False
462,train,False
463,train,False
464,train,True
465,train,True
466,train,True
467,train,True
468,validation,False
469,train,True
470,validation,False
471,validation,False
472,validation,False
473,train,True
474,train,True
475,test,False
476,validation,False
477,train,False
478,test,False
479,train,True
480,train,True
481,test,False
482,validation,False
483,train,True
484,train,True
485,train,True
486,validation,False
487,train,True
488,train,True
489,train,True
490,train,True
491,validation,False
492,validation,False
493,validation,False
494,test,False
495,train,True
496,test,False
497,validation,False
498,train,True
499,test,False
500,train,False
501,train,True
502,train,True
503,train,True
504,test,False
505,test,False
506,train,True
507,train,True
508,test,False
509,validation,False
510,train,True
511,validation,False
512,test,False
513,train,False
514,test,False
515,train,True
516,test,False
517,validation,False
518,train,True
519,train,True
520,validation,False
521,test,False
522,validation,False
523,test,False
524,validation,False
525,train,True
526,validation,False
527,train,False
528,test,False
529,train,True
530,train,False
531,validation,False
532,train,True
533,validation,False
534,test,False
535,train,True
536,train,False
537,validation,False
538,test,False
539,test,False
540,train,True
541,train,True
542,validation,False
543,train,True
544,train,False
545,train,True
546,validation,False
547,train,False
548,train,False
549,train,True
550,test,False
551,test,False
552,train,True
553,test,False
554,test,False
555,train,False
556,train,True
557,train,True
558,train,False
559,validation,False
560,train,False
561,validation,False
562,train,True
563,validation,False
564,train,True
565,validation,False
566,train,True
567,test,False
568,train,True
569,test,False
570,test,False
571,train,False
572,train,False
573,test,False
574,train,False
575,validation,False
576,train,True
577,validation,False
578,validation,False
579,validation,False
580,validation,False
581,test,False
582,train,True
583,train,True
584,test,False
585,train,True
586,train,True
587,test,False
588,train,False
589,test,False
590,train,True
591,test,False
592,train,True
593,train,True
594,validation,False
595,test,False
596,train,True
597,validation,False
598,test,False
599,train,True
600,train,True
601,validation,False
602,train,True
603,train,False
604,train,True
605,train,False
606,validation,False
607,validation,False
608,train,True
609,train,True
610,train,True
611,train,True
612,train,True
613,test,False
614,train,True
615,train,False
616,validation,False
617,test,False
618,train,True
619,train,True
620,test,False
621,train,False
622,test,False
623,train,True
624,train,True
625,test,False
626,test,False
627,train,True
628,train,False
629,train,True
630,test,False
631,validation,False
632,validation,False
633,train,True
634,test,False
635,train,False
636,train,True
637,train,True
638,train,False
639,train,True
640,validation,False
641,validation,False
642,train,True
643,validation,False
644,train,False
645,train,True
646,validation,False
647,train,True
648,train,False
649,train,True
650,validation,False
651,test,False
652,train,False
653,train,True
654,train,True
655,train,True
656,train,False
657,train,True
658,train,False
659,test,False
660,train,True
661,test,False
662,test,False
663,train,False
664,train,False
665,validation,False
666,train,True
667,validation,False
668,train,True
669,train,True
670,validation,False
671,validation,False
672,test,False
673,validation,False
674,train,True
675,test,False
676,validation,False
677,validation,False
678,train,True
679,validation,False
680,train,True
681,train,False
682,train,True
683,train,True
684,train,True
685,train,False
686,train,False
687,train,False
688,train,True
689,test,False
